"season","game_id","game_date","goalie_id","goalie_name","save","angle","distance","home","game_score_state","rebound","strength","shot_type","round","recent_save_30","recent_save_60","recent_save_90","recent_save_120","recent_save_150","long_run_save_840","xprime_30","xprime_60","xprime_90","xprime_120","xprime_150"
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,34,59.1,1,"Leading",0,"0","Slap Shot",0,0.933333333333333,0.9,0.922222222222222,0.925,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0095238095238096,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,46,41.7,1,"Leading",0,"0","Wrist Shot",0,0.933333333333333,0.9,0.922222222222222,0.933333333333333,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0178571428571429,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,26.6,44.7,1,"Leading",1,"0","Slap Shot",0,0.933333333333333,0.9,0.922222222222222,0.933333333333333,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0178571428571429,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,11.3,51,1,"Leading",0,"0","Wrist Shot",0,0.933333333333333,0.9,0.922222222222222,0.933333333333333,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0178571428571429,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,36.9,15,1,"Leading",0,"0","Snap Shot",0,0.933333333333333,0.9,0.922222222222222,0.933333333333333,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0178571428571429,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,25.6,27.7,1,"Leading",0,"+","Wrist Shot",0,0.933333333333333,0.9,0.922222222222222,0.933333333333333,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0178571428571429,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",0,37.9,11.4,1,"Leading",0,"0","Wrist Shot",0,0.933333333333333,0.9,0.922222222222222,0.933333333333333,0.94,0.91547619047619,0.0178571428571429,-0.0154761904761904,0.00674603174603183,0.0178571428571429,0.0245238095238095
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,6.8,25.2,1,"Leading",0,"0","Wrist Shot",0,0.9,0.883333333333333,0.911111111111111,0.925,0.933333333333333,0.914285714285714,-0.0142857142857142,-0.030952380952381,-0.00317460317460316,0.0107142857142858,0.0190476190476191
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,33.7,7.2,1,"Leading",0,"0","Tip-In",0,0.9,0.9,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,-0.0142857142857142,-0.0142857142857142,-0.00317460317460316,0.0190476190476191,0.0190476190476191
"20222023","2022030232",2023-05-04,"8479979","Jake.Oettinger",1,4.2,54.1,1,"Leading",0,"0","Slap Shot",0,0.9,0.916666666666667,0.911111111111111,0.933333333333333,0.933333333333333,0.914285714285714,-0.0142857142857142,0.00238095238095237,-0.00317460317460316,0.0190476190476191,0.0190476190476191
